EvaluationID,ObservedInchesFromZero,ObservedSeedSpacing,TargetSpacingInches,SeedPlacementType
1001,9,9,10,0
1001,18,9,10,0
1001,33,15,10,3
1001,44,11,10,0
1001,54,10,10,0
1001,66,12,10,0
1001,80,14,10,3
1001,93,13,10,3
1001,116,23,10,1
1001,128,12,10,1
1001,153,25,10,1
1001,165,12,10,0
1001,173,8,10,1
1001,189,16,10,1
1001,199,10,10,1
1001,220,21,10,1
1001,231,11,10,1
1001,247,16,10,1
1001,256,9,10,0
1001,270,14,10,3
1002,5,5,11,2
1002,15,10,11,0
1002,29,14,11,3
1002,36,7,11,3
1002,47,11,11,0
1002,56,9,11,0
1002,67,11,11,0
1002,75,8,11,3
1002,86,11,11,0
1002,99,13,11,0
1002,115,16,11,3
1003,23,23,17,3
1003,36,13,17,3
1003,46,10,17,3
1003,69,23,17,3
1003,77,8,17,2
1003,93,16,17,0
1003,110,17,17,0
1003,125,15,17,0
1003,139,14,17,0
1003,155,16,17,0
1003,172,17,17,0
1003,184,12,17,3
1003,201,17,17,2
1003,205,4,17,2
1003,221,16,17,0
1003,235,14,17,2
1003,237,2,17,2
1003,251,14,17,0
1003,266,15,17,0
1003,280,14,17,0
1003,294,14,17,0
1004,6,6,8,3
1004,15,9,8,0
1004,26,11,8,3
1004,36,10,8,3
1004,42,6,8,3
1004,48,6,8,3
1004,56,8,8,0
1004,63,7,8,0
1004,71,8,8,0
1004,78,7,8,0
1004,86,8,8,0
1004,93,7,8,0
1004,102,9,8,1
1004,118,16,8,1
1004,127,9,8,0
1004,134,7,8,0
1004,144,10,8,3
1004,151,7,8,2
1004,155,4,8,2
1004,162,7,8,0
1004,169,7,8,0
1004,177,8,8,0
1004,184,7,8,0
1004,191,7,8,0
1004,199,8,8,0
1004,207,8,8,1
1004,231,24,8,1
1004,237,6,8,3
1005,18,18,15,2
1005,22,4,15,2
1005,48,26,15,1
1005,57,9,15,3
1005,72,15,15,0
1005,86,14,15,0
1005,102,16,15,0
1005,116,14,15,0
1005,132,16,15,0
1005,152,20,15,3
1005,170,18,15,2
1005,173,3,15,2
1005,195,22,15,3
1005,197,2,15,2
1005,214,17,15,2
1005,219,5,15,2
1005,233,14,15,0
1005,249,16,15,0
1005,263,14,15,0
1005,277,14,15,2
1005,281,4,15,2
1005,292,11,15,3
1006,8,8,13,3
1006,22,14,13,0
1006,37,15,13,0
1006,45,8,13,3
1006,58,13,13,0
1006,70,12,13,0
1006,81,11,13,0
1006,89,8,13,3
1006,99,10,13,3
1006,111,12,13,0
1006,124,13,13,0
1006,135,11,13,0
1006,150,15,13,0
1007,14,14,15.5,0
1007,28,14,15.5,0
1007,41,13,15.5,1
1007,71,30,15.5,1
1007,86,15,15.5,0
1007,102,16,15.5,0
1007,115,13,15.5,0
1007,131,16,15.5,0
1007,144,13,15.5,0
1007,158,14,15.5,0
1007,172,14,15.5,0
1007,187,15,15.5,0
1007,202,15,15.5,0
1007,217,15,15.5,0
1007,233,16,15.5,0
1008,17,17,16,0
1008,31,14,16,0
1008,45,14,16,0
1008,60,15,16,1
1008,91,31,16,1
1008,106,15,16,0
1008,122,16,16,0
1008,136,14,16,0
1008,149,13,16,0
1008,162,13,16,0
1008,178,16,16,0
1008,194,16,16,1
1008,221,27,16,1
1008,235,14,16,2
1008,236,1,16,2
1009,16,16,13,3
1009,32,16,13,3
1009,46,14,13,1
1009,66,20,13,1
1009,82,16,13,3
1009,101,19,13,3
1009,114,13,13,0
1009,124,10,13,3
1009,130,6,13,2
1009,146,16,13,3
1009,160,14,13,1
1009,180,20,13,1
1009,197,17,13,3
1009,213,16,13,3
1009,230,17,13,3
1010,11,11,13,1
1010,32,21,13,1
1010,44,12,13,1
1010,65,21,13,1
1010,80,15,13,0
1010,94,14,13,0
1010,108,14,13,0
1010,125,17,13,3
1010,138,13,13,1
1010,159,21,13,1
1010,175,16,13,3
1010,189,14,13,0
1010,203,14,13,0
1010,220,17,13,3
1010,226,6,13,2
1010,238,12,13,1
1010,267,29,13,1
1011,16,16,16,0
1011,33,17,16,0
1011,44,11,16,3
1011,65,21,16,3
1011,79,14,16,0
1011,96,17,16,0
1011,111,15,16,0
1011,127,16,16,0
1011,144,17,16,0
1011,159,15,16,0
1011,173,14,16,0
1011,189,16,16,0
1011,201,12,16,3
1011,220,19,16,0
1011,234,14,16,0
1011,252,18,16,0
1011,268,16,16,0
1011,280,12,16,3
1011,299,19,16,0
1012,14,14,16,0
1012,30,16,16,0
1012,45,15,16,0
1012,56,11,16,3
1012,74,18,16,0
1012,86,12,16,3
1012,100,14,16,0
1012,109,9,16,3
1012,125,16,16,0
1012,145,20,16,3
1012,161,16,16,2
1012,168,7,16,2
1012,188,20,16,3
1012,201,13,16,0
1012,216,15,16,0
1012,229,13,16,0
1012,245,16,16,0
1012,259,14,16,0
1012,268,9,16,3
1013,12,12,13,0
1013,24,12,13,0
1013,34,10,13,3
1013,43,9,13,3
1013,51,8,13,3
1013,60,9,13,3
1013,71,11,13,0
1013,83,12,13,0
1013,90,7,13,3
1013,99,9,13,3
1013,110,11,13,0
1013,121,11,13,0
1013,130,9,13,3
1013,143,13,13,0
1013,155,12,13,0
1013,163,8,13,3
1013,171,8,13,3
1013,181,10,13,3
1013,189,8,13,3
1013,196,7,13,3
1013,204,8,13,3
1013,212,8,13,3
1013,222,10,13,3
1013,233,11,13,0
1013,244,11,13,0
1013,254,10,13,3
1013,264,10,13,3
1013,274,10,13,3
1013,284,10,13,3
1014,8,8,11,3
1014,20,12,11,2
1014,22,2,11,2
1014,52,30,11,1
1014,62,10,11,1
1014,82,20,11,1
1014,99,17,11,1
1014,105,6,11,3
1014,124,19,11,1
1014,135,11,11,0
1014,149,14,11,3
1014,156,7,11,3
1014,169,13,11,0
1014,179,10,11,1
1014,201,22,11,1
1014,212,11,11,0
1014,224,12,11,0
1014,233,9,11,2
1014,235,2,11,2
1014,249,14,11,3
1014,263,14,11,3
1015,15,15,14,0
1015,30,15,14,0
1015,45,15,14,0
1015,60,15,14,2
1015,61,1,14,2
1015,75,14,14,1
1015,106,31,14,1
1015,123,17,14,3
1015,141,18,14,3
1015,153,12,14,0
1015,168,15,14,0
1015,185,17,14,3
1015,208,23,14,1
1015,216,8,14,3
1015,231,15,14,0
1015,246,15,14,0
1015,262,16,14,0
1015,277,15,14,0
1016,12,12,11.5,0
1016,18,6,11.5,3
1016,25,7,11.5,3
1016,33,8,11.5,3
1016,50,17,11.5,3
1016,60,10,11.5,0
1016,71,11,11.5,0
1016,88,17,11.5,3
1016,94,6,11.5,3
1016,117,23,11.5,1
1016,130,13,11.5,0
1016,139,9,11.5,3
1016,151,12,11.5,0
1017,14,14,14,0
1017,30,16,14,0
1017,45,15,14,0
1017,58,13,14,0
1017,74,16,14,0
1017,89,15,14,0
1017,101,12,14,2
1017,107,6,14,2
1017,120,13,14,0
1017,131,11,14,3
1017,163,32,14,1
1017,177,14,14,0
1017,192,15,14,0
1017,209,17,14,3
1017,222,13,14,0
1018,15,15,15,0
1018,28,13,15,0
1018,44,16,15,0
1018,59,15,15,0
1018,74,15,15,0
1018,87,13,15,0
1018,98,11,15,3
1018,110,12,15,0
1018,127,17,15,0
1018,140,13,15,0
1018,151,11,15,3
1018,164,13,15,0
1018,181,17,15,0
1018,193,12,15,0
1018,208,15,15,0
1018,224,16,15,0
1019,16,16,15,0
1019,32,16,15,0
1019,44,12,15,0
1019,56,12,15,0
1019,71,15,15,0
1019,86,15,15,0
1019,94,8,15,3
1019,100,6,15,2
1019,116,16,15,0
1019,131,15,15,0
1019,146,15,15,0
1019,161,15,15,0
1019,175,14,15,0
1019,187,12,15,0
1019,204,17,15,0
1019,218,14,15,0
1019,232,14,15,0
1019,246,14,15,0
1019,262,16,15,0
1019,280,18,15,0
1019,296,16,15,0
1020,7,7,13,3
1020,12,5,13,2
1020,23,11,13,0
1020,31,8,13,3
1020,36,5,13,2
1020,42,6,13,2
1020,44,2,13,2
1020,50,6,13,2
1020,56,6,13,2
1020,65,9,13,3
1020,72,7,13,3
1020,79,7,13,3
1020,92,13,13,0
1020,101,9,13,3
1020,108,7,13,3
1020,113,5,13,2
1020,118,5,13,2
1020,126,8,13,3
1020,133,7,13,3
1020,134,1,13,2
1020,142,8,13,3
1020,153,11,13,2
1020,157,4,13,2
1020,166,9,13,3
1020,169,3,13,2
1020,178,9,13,3
1020,181,3,13,2
1020,193,12,13,2
1020,199,6,13,2
1020,204,5,13,2
1020,210,6,13,2
1020,219,9,13,3
1020,225,6,13,2
1020,234,9,13,3
1020,241,7,13,3
1020,252,11,13,2
1020,253,1,13,2
1020,262,9,13,3
1021,15,15,13,0
1021,31,16,13,3
1021,49,18,13,3
1021,65,16,13,3
1021,80,15,13,0
1021,93,13,13,0
1021,108,15,13,0
1021,123,15,13,0
1021,140,17,13,3
1021,155,15,13,0
1021,169,14,13,0
1021,184,15,13,0
1021,198,14,13,0
1021,212,14,13,0
1021,229,17,13,3
1021,246,17,13,3
1022,6,6,13,2
1022,30,24,13,1
1022,35,5,13,2
1022,51,16,13,3
1022,64,13,13,0
1022,75,11,13,0
1022,87,12,13,2
1022,90,3,13,2
1022,100,10,13,3
1022,113,13,13,0
1022,122,9,13,3
1022,134,12,13,0
1022,147,13,13,0
1022,158,11,13,0
1022,168,10,13,3
1022,178,10,13,3
1022,188,10,13,3
1022,202,14,13,0
1022,213,11,13,0
1022,225,12,13,0
1022,238,13,13,0
1023,15,15,15,0
1023,31,16,15,0
1023,46,15,15,0
1023,62,16,15,0
1023,79,17,15,0
1023,95,16,15,0
1023,112,17,15,0
1023,127,15,15,1
1023,157,30,15,1
1023,190,33,15,1
1023,220,30,15,1
1023,237,17,15,0
1023,251,14,15,0
1023,266,15,15,0
1023,282,16,15,0
1023,296,14,15,0
1024,9,9,9.3,0
1024,18,9,9.3,0
1024,27,9,9.3,0
1024,35,8,9.3,0
1024,45,10,9.3,0
1024,52,7,9.3,3
1024,61,9,9.3,2
1024,64,3,9.3,2
1024,72,8,9.3,1
1024,88,16,9.3,1
1024,97,9,9.3,0
1024,102,5,9.3,3
1024,109,7,9.3,3
1024,117,8,9.3,0
1024,129,12,9.3,3
1024,142,13,9.3,3
1025,12,12,12,0
1025,24,12,12,0
1025,36,12,12,0
1025,48,12,12,0
1025,60,12,12,0
1025,75,15,12,3
